"district_code","lea_district","name","caed_name","tiger_name","test_name","county_name","website","intptlat","intptlon","pct_in_county","lograde","higrade","county_code","school_code","test_year","subgroup_id","total_caaspp_enrollment","total_tested_at_entity_level","total_tested_at_subgroup_level","grade","test_id","caaspp_reported_enrollment","students_tested","students_with_scores","percent_tested","mean_scale_score","percentage_standard_exceeded","percentage_standard_met","percentage_standard_met_and_above","percentage_standard_nearly_met","percentage_standard_not_met","area_1_percentage_above_standard","area_1_percentage_at_or_near_standard","area_1_percentage_below_standard","area_2_percentage_above_standard","area_2_percentage_at_or_near_standard","area_2_percentage_below_standard","area_3_percentage_above_standard","area_3_percentage_at_or_near_standard","area_3_percentage_below_standard","area_4_percentage_above_standard","area_4_percentage_at_or_near_standard","area_4_percentage_below_standard","State","FIPS","TotPop","Pop_5_17","Pop_5_17_Poverty","Pop_5_17_Poverty_Percent","CO","DISTRICT","ExpendituresEDP365","CurrentExpenseADA","CurrentExpensePerADA","LEAType"
61119,1770,"Alameda City Unified School District","Alameda Unified","Alameda City Unified School District","Mathematics","Alameda","www.aoaschools.org",37.741911,-122.259914,100,0,12,1,0,2015,1,5475,5264,5264,5,2,785,769,766,98,2532.1,32,22,55,25,19,39,34,27,32,43,25,27,53,20,0,0,0,"CA",6,78732,11301,1240,10.97248,1,"Alameda Unified",92504264,9071.4,10197,"Unified"
61127,1860,"Albany City Unified School District","Albany City Unified","Albany City Unified School District","Mathematics","Alameda","www.ausdk12.org",37.89065,-122.318116,100,0,12,1,0,2015,1,2394,2273,2273,5,2,318,299,298,94,2571.7,51,26,77,16,6,60,29,11,44,47,9,46,43,12,0,0,0,"CA",6,19790,3274,275,8.399511,1,"Albany City Unified",39459715,3747.4,10530,"Unified"
61143,4740,"Berkeley Unified School District","Berkeley Unified","Berkeley Unified School District","Mathematics","Alameda","www.realmcharterschool.org",37.866972,-122.299147,100,0,12,1,0,2015,1,5932,5599,5599,5,2,728,702,700,96.4,2532.8,37,19,55,22,22,42,27,30,34,42,24,33,45,22,0,0,0,"CA",6,119919,9879,996,10.081992,1,"Berkeley Unified",124779481,9311.4,13401,"Unified"
61150,7800,"Castro Valley Unified School District","Castro Valley Unified","Castro Valley Unified School District","Mathematics","Alameda","www.cvadult.org",37.719672,-122.046345,100,0,12,1,0,2015,1,5813,5519,5519,5,2,674,661,658,98.1,2526,27,20,47,31,21,32,37,31,27,45,28,27,49,24,0,0,0,"CA",6,52620,9364,907,9.686032,1,"Castro Valley Unified",77148337,9033.3,8540,"Unified"
75093,19,"Dublin Unified School District","Dublin Unified","Dublin Unified School District","Mathematics","Alameda","www.dublinusd.org",37.715375,-121.910502,100,0,12,1,0,2015,1,5539,5428,5428,5,2,740,723,721,97.7,2566.5,49,22,71,20,9,55,30,15,47,40,13,44,44,12,0,0,0,"CA",6,48697,6932,327,4.717253,1,"Dublin Unified",77068611,8955,8606,"Unified"
61168,12630,"Emery Unified School District","Emery Unified","Emery Unified School District","Mathematics","Alameda","www.emeryusd.k12.ca.us",37.839906,-122.298963,100,0,12,1,0,2015,1,413,391,391,5,2,55,53,53,96.4,2437.4,9,6,15,23,62,13,17,70,6,28,66,8,36,57,0,0,0,"CA",6,10683,620,104,16.774194,1,"Emery Unified",9291529,641.7,14479,"Unified"
61176,14400,"Fremont Unified School District","Fremont Unified","Fremont Unified School District","Mathematics","Alameda","www.fremont.k12.ca.us",37.494461,-121.94115,100,0,12,1,0,2015,1,20753,20258,20258,5,2,2803,2716,2705,96.9,2571.4,52,18,71,17,12,60,23,17,49,34,17,47,39,14,0,0,0,"CA",6,228348,38567,2890,7.493453,1,"Fremont Unified",279986930,33004.4,8483,"Unified"
61192,16740,"Hayward Unified School District","Hayward Unified","Hayward Unified School District","Mathematics","Alameda","www.silveroakmontessori.org",37.637951,-122.10101,100,0,12,1,0,2015,1,12940,12423,12423,5,2,1733,1670,1668,96.4,2446.2,5,10,16,28,57,8,25,67,7,29,64,6,40,54,0,0,0,"CA",6,176979,28481,4794,16.832274,1,"Hayward Unified",215130955,20042,10734,"Unified"
61200,22110,"Livermore Valley Joint Unified School District","Livermore Valley Joint Unified","Livermore Valley Joint Unified School District","Mathematics","Alameda","www.lvjusd.k12.ca.us",37.639684,-121.663357,90.998103,0,12,1,0,2015,1,7648,7445,7445,5,2,899,876,876,97.4,2501.3,17,20,37,35,28,23,36,40,19,48,33,16,54,30,0,0,0,"CA",6,90266,16235,1120,6.898676,1,"Livermore Valley Joint Unified",112085672,12047.3,9304,"Unified"
61242,26910,"New Haven Unified School District","New Haven Unified","New Haven Unified School District","Mathematics","Alameda","www.nhusd.k12.ca.us/eastin/index.html",37.594274,-122.060122,100,0,12,1,0,2015,1,7487,7316,7316,5,2,930,898,890,96.6,2487.7,16,15,31,31,36,19,32,49,18,41,41,15,46,39,0,0,0,"CA",6,79115,13194,1579,11.967561,1,"New Haven Unified",112863010,11856.7,9519,"Unified"
