id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
1998283,936968,Noe Valley,Dwelling,2010-08-01,1017,1.0,2,5,1,1,RH2,D,1896,0,2850,11/01/1998,08/01/2010,08/01/2010,94114
973406,289108,Parkside,Dwelling,1999-02-01,1614,2.0,3,7,1,1,RH2,D,1946,339,1843.2,02/01/1999,,06/01/1950,94116
259382,6879410,Pacific Heights,Dwelling,2014-01-29,4641,5.0,4,15,2,1,RH1D,D,1970,0,4500,08/01/1999,11/01/2011,01/29/2014,94115
1801314,1722786,Pacific Heights,Condominium,2013-04-09,1900,2.0,3,6,1,1,RM3,D,1931,0,0,04/01/1999,04/09/2013,04/09/2013,94109
458822,1026704,Pacific Heights,Condominium,1999-08-01,1390,3.0,3,5,0,1,RM2,other,1964,0,0,08/01/1999,07/02/1920,07/02/1920,94123
1113961,365624,Noe Valley,Dwelling,2013-12-09,2025,1.0,4,7,2,1,RH2,D,1894,0,2937.5,08/01/1999,,12/09/2013,94114
1080603,494078,Bayview,Dwelling,2002-11-01,1394,2.0,3,6,1,1,M1,D,1996,541,2500,11/01/2002,11/05/1920,11/05/1920,94124
1922026,425925,Pacific Heights,Condominium,2010-12-04,1400,1.0,2,5,1,1,RH2,D,1895,0,0,06/01/1998,11/26/1997,12/04/2010,94115
931469,1212341,Noe Valley,Dwelling,2014-12-05,2300,2.0,3,7,2,1,RH2,D,1905,0,3375,01/01/1998,10/02/2014,12/05/2014,94114
1146676,714324,Pacific Heights,Condominium,2014-01-28,1020,2.0,2,5,0,1,RH2,D,1981,0,0,08/01/1999,,01/28/2014,94115
1659659,878971,Noe Valley,Dwelling,2012-11-16,700,1.0,2,5,1,1,RH1,D,1910,0,2848,04/01/1998,11/16/2012,11/16/2012,94131
1685882,963282,Noe Valley,Condominium,1999-01-01,1136,1.0,3,6,1,1,RH2,D,1921,0,954,01/01/1999,02/05/1971,02/05/1971,94114
1244287,730000,Pacific Heights,Condominium,2013-09-05,870,1.0,1,3,1,1,RH1,D,1960,0,0,02/01/1996,09/05/2013,09/05/2013,94115
